tweet_id,content,url,time_posted
1269814616441319425,"பெங்களூருவில் கோவில்கள் மீண்டும் திறப்பு. பக்தர்கள் வழிபாடு

#Bengaluru #Temples #COVID19 #coronavirus pic.twitter.com/f3fJPifeeD",/jayapluschannel/status/1269814616441319425,2020-06-07T22:12:51
1269814614428131328,"I've got a sneaking suspicion that the Senate is going to try and take advantage of all this ""distraction"" from COVID to quietly lay our chances at a second stimulus check to rest. #COVID19 #HEROESact #stimuluspayment",/micahccino/status/1269814614428131328,2020-06-07T22:12:50
1269814610594541568,"After work by Panigada et al. from Milan in #JTH and findings from team Denver in #JCAS, more research in @JAMANetworkOpen on the potential utility of thromboelastography in #COVID19 patients:
 https://ja.ma/2YaxOyx 
@DrRosengart @JTHjournal @JAmCollSurg @AABB @ASH_hematology",/JanHartmannMD/status/1269814610594541568,2020-06-07T22:12:49
1269814604319715329,Napoli rule out letting Koulibaly leave on the cheap https://www.mykhel.com/football/napoli-rule-out-letting-kalidou-koulibaly-leave-cheap-transfer-rumours-145030.html … #football #premierleague #seriea #manchesterunited #napoli #kalidoukoulibaly #transfernews #coronavirus #covid19,/mykhelcom/status/1269814604319715329,2020-06-07T22:12:48
1269814597877301248,"Some people are wishing for increase in covid-19 cases in India, so that they can criticise the government.

""The level of their mentality."" 

#COVID19
#coronavirus",/abhy2410/status/1269814597877301248,2020-06-07T22:12:46
1269814596946321408,A New CDC Survey Finds That Some Americans Are Misusing Disinfectants https://gizmodo.com/cdc-americans-are-misting-their-bodies-with-disinfecta-1843944408 … #covid19,/practiceyouren1/status/1269814596946321408,2020-06-07T22:12:46
1269814588209377281,"#Opinión Que mal adiestrado el oficial que desarmaron, así no puede funcionar adecuadamente la policía. Además, un intento de linchamiento por parte de cientos los vecinos (en medio de la pendemia), y que no respetan el protocolo de la emergencia sanitaria por #Covid19. https://twitter.com/c4jimenez/status/1269810029907062786 …",/FABIAN7511/status/1269814588209377281,2020-06-07T22:12:44
1269814586284183555,"Strategies in #COVID19 response 

Failing in Plans is okay 
Planning to Fail is unethical.",/epigiri/status/1269814586284183555,2020-06-07T22:12:44
1269814584694759424,Archbishop  Viganò writes to Trump about the Children of Light vs Children of Darkness..#POTUS https://youtu.be/YWpsZG7TqZ0  via @YouTube #COVID19 #DeepState #Sheep #Wolves #Vatican #lightworker #DarkToLight #darknessintolight #Biden #Children #NewWorldOrder,/13Lxx/status/1269814584694759424,2020-06-07T22:12:43
1269814584577265664,Dos personas fallecidas a causa del virus #Covid19 en #MalvinasArgentinas pic.twitter.com/IBTyLYXqIR,/diariomalvinas/status/1269814584577265664,2020-06-07T22:12:43
