PUMFID,VERDATE,AGEGRP,BH_05,BH_10,BH_25,BH_30,BH_45,PBH_50,BH_15A,BH_15B,BH_15C,BH_15D,BH_20A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,BH_20N,BH_35A,BH_35B,BH_35C,BH_35D,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,BH_55A,BH_55B,BH_55C,BH_55D,BH_55E,BH_55F,BH_55G,BH_55H,BH_55I,BH_55J,BH_55K,BH_55L,BH_60A,BH_60B,BH_60C,BH_60D,BH_60E,BH_60F,PBH_65A,BH_65B,BH_65C,PBH_70_C,DWELCODC,EDUC_LVC,PEMPSTC,HASCHILD,HHLDSIZC,IMMIGRNC,LM_30,LM_40,PLM_45,LM_35A,LM_35B,LM_35CDE,LM_35F,MARSTATC,SEX,PTELEWSC,COVID_WT
1283,23/04/2020,6,1,1,3,3,2,2,1,2,2,3,2,2,2,2,2,1,2,1,1,1,2,2,2,2,4,4,4,2,4,3,3,3,3,1,1,3,3,2,3,3,2,2,3,3,2,3,3,2,1,2,4,4,4,4,4,2,2,1,6,1,3,4,0,2,2,6,4,3,2,2,2,1,1,1,9,6480.1704
1284,23/04/2020,6,5,5,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,4,4,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,4,1,2,3,1,3,1,3,4,4,4,4,4,2,2,1,6,1,6,4,0,2,1,6,5,2,2,2,2,1,1,1,9,1649.9742
1285,23/04/2020,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,4,4,2,4,3,3,3,3,3,3,3,3,2,2,4,2,3,3,2,1,1,1,2,1,3,4,4,4,4,4,2,2,1,6,1,6,1,0,2,1,5,4,2,2,2,2,1,2,1,1,2184.3558
1286,23/04/2020,4,11,2,2,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,4,4,3,2,3,3,3,2,1,3,3,3,3,3,4,3,3,3,3,1,1,1,1,1,3,4,3,4,4,2,2,2,1,6,1,4,1,0,1,1,5,4,2,2,2,2,1,4,2,3,1505.5717
1287,23/04/2020,4,1,1,3,3,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,3,4,4,3,4,3,3,3,3,1,3,3,3,3,3,4,3,3,4,3,2,3,3,3,1,3,4,4,4,4,4,2,2,1,6,1,4,1,0,2,1,3,5,1,2,2,2,1,1,2,3,24113.1785
1288,23/04/2020,4,1,5,3,4,1,2,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,4,3,2,4,1,3,3,3,1,1,3,1,2,3,3,2,2,3,2,2,2,2,3,1,3,4,3,4,4,3,2,2,1,6,1,6,1,0,2,1,2,1,2,2,2,2,1,3,1,1,1434.4523
1289,23/04/2020,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,3,4,3,4,4,3,3,3,3,3,1,3,3,2,2,4,3,4,4,2,1,1,1,1,1,3,4,4,4,4,4,2,2,1,6,1,2,1,0,3,1,4,4,3,2,2,2,1,1,1,3,2593.7884
1290,23/04/2020,5,1,1,2,1,2,2,2,2,2,3,1,2,2,2,2,1,1,1,1,1,2,2,2,2,3,3,3,3,4,3,3,3,1,1,1,3,3,2,2,3,3,3,3,3,2,2,2,2,1,3,3,4,4,4,4,2,2,1,6,1,4,4,1,1,1,6,1,2,1,2,2,2,3,2,9,2282.2641
1291,23/04/2020,5,1,1,3,3,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,3,9,3,3,9,3,3,9,3,1,1,1,9,3,3,4,3,3,4,4,3,3,3,4,1,3,3,4,4,4,4,2,2,1,6,4,4,2,0,1,1,3,5,3,2,2,2,1,3,2,4,672.1459
1292,23/04/2020,2,6,6,1,1,2,2,2,2,2,3,2,2,2,2,1,1,2,2,1,2,1,2,2,2,3,4,4,4,4,3,3,3,1,3,3,3,3,2,2,3,3,4,4,3,2,2,2,1,1,3,4,4,4,4,4,2,2,1,6,1,4,1,1,2,1,5,4,2,2,2,2,1,1,1,3,1584.9502
1293,23/04/2020,4,1,1,3,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,3,4,3,4,4,3,2,3,2,1,1,1,3,3,1,4,4,3,4,1,3,3,3,4,1,3,3,4,4,4,4,2,2,1,6,2,2,4,0,1,1,6,4,2,2,2,2,1,4,1,9,2708.8878
1294,23/04/2020,6,1,3,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,2,2,3,4,3,3,4,3,3,3,3,1,3,3,3,3,3,3,3,3,4,2,2,2,2,2,1,3,4,4,4,4,4,2,2,1,6,1,3,4,0,2,1,6,3,2,2,2,2,1,1,1,9,1142.3341
1295,23/04/2020,6,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,4,4,4,4,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,6,4,1,4,0,2,1,6,5,3,2,2,2,1,1,2,9,38779.9318
1296,23/04/2020,6,3,2,3,1,1,2,2,2,2,3,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,3,2,1,3,3,3,3,1,1,3,3,3,3,4,4,4,4,1,1,2,1,2,1,3,4,4,4,4,4,2,2,1,6,1,6,4,0,2,1,6,3,3,2,2,2,1,1,1,9,660.4354
1297,23/04/2020,6,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,3,9,3,9,9,9,9,9,9,1,1,9,9,2,4,4,4,4,4,1,2,1,1,2,1,3,4,4,4,4,1,2,2,1,6,1,6,1,0,2,1,3,5,2,2,2,2,1,1,1,3,798.7762
1298,23/04/2020,3,1,1,2,2,2,1,1,2,2,3,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,4,3,3,4,1,3,3,1,1,1,3,1,2,2,3,3,3,4,2,2,2,2,3,1,4,4,4,4,4,4,1,2,2,1,1,6,1,1,1,1,5,4,2,2,2,2,1,3,2,1,1190.7075
1299,23/04/2020,4,7,7,2,3,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,4,4,3,4,4,2,2,3,3,3,3,3,3,1,2,3,4,2,2,3,3,3,2,2,1,3,4,4,4,4,4,2,2,1,6,1,6,4,1,2,2,6,4,1,2,2,2,1,1,1,9,23639.5661
1300,23/04/2020,7,1,1,5,3,1,1,1,2,2,3,1,1,2,2,2,1,1,1,1,2,1,2,2,2,3,4,4,2,2,2,3,3,3,3,1,3,1,2,3,3,3,4,3,3,2,3,3,2,1,4,3,4,4,4,4,2,2,1,6,1,4,4,0,2,1,6,4,2,2,2,2,1,1,1,9,2918.911
1301,23/04/2020,3,6,6,2,3,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,4,3,4,3,3,2,2,2,3,1,3,3,3,4,4,4,4,4,3,3,3,2,3,1,4,4,4,4,4,4,2,2,1,6,1,3,1,1,2,1,4,1,1,2,2,2,1,1,1,3,2001.6992
1302,23/04/2020,5,2,2,1,1,2,2,2,2,1,3,2,1,2,2,1,1,1,1,1,1,2,1,2,2,1,4,3,3,2,3,3,3,3,3,3,3,3,1,1,3,1,1,1,2,1,1,1,2,1,3,4,4,4,4,4,2,2,1,6,1,6,4,0,2,1,6,3,2,2,2,2,1,1,1,9,1328.0127
1303,23/04/2020,6,1,99,2,3,2,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,4,3,4,4,3,3,3,1,3,3,3,3,2,2,1,2,2,2,1,2,1,1,1,1,3,4,4,4,4,4,2,2,1,6,1,6,4,0,2,1,6,5,2,2,2,2,1,1,2,9,5933.2631
1304,23/04/2020,6,6,6,5,2,1,1,2,2,2,3,1,1,2,2,1,1,1,1,1,1,2,2,2,2,3,9,3,9,9,3,3,9,9,2,3,3,3,4,9,4,4,3,4,3,1,1,1,2,1,4,3,4,4,4,4,2,2,1,6,4,2,4,0,1,1,6,3,2,2,2,2,1,3,2,9,2986.0737
1305,23/04/2020,3,11,3,1,3,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,4,3,3,2,3,3,3,1,1,1,3,3,2,2,3,2,2,3,1,1,2,2,3,1,3,4,4,4,4,4,2,1,2,1,1,6,1,1,2,2,5,5,2,2,2,2,1,1,2,1,1915.8073
1306,23/04/2020,6,1,1,3,3,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,3,3,3,3,4,3,3,3,3,2,3,3,3,2,3,2,3,3,4,1,1,1,1,1,1,3,4,4,4,4,4,2,2,1,6,1,6,1,0,2,1,5,4,2,2,2,2,1,1,1,2,2227.4932
1307,23/04/2020,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,2,2,2,2,1,4,4,4,4,4,4,2,2,1,6,3,6,1,0,1,1,5,4,3,2,2,2,1,4,2,1,2462.9269
1308,23/04/2020,4,1,8,3,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,2,3,3,2,2,3,1,1,1,1,1,1,3,4,4,4,4,4,2,2,1,6,1,3,2,0,3,1,4,5,2,2,2,2,1,2,1,4,2111.9464
1309,23/04/2020,3,5,5,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,4,1,4,3,3,3,3,3,1,1,3,3,2,2,2,1,2,2,2,2,3,3,3,1,3,4,4,4,4,4,2,2,1,6,4,2,4,0,3,1,6,5,2,2,2,2,1,4,1,9,5799.7024
1310,23/04/2020,3,1,1,3,4,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,3,4,4,4,2,3,3,3,2,3,1,3,1,2,2,2,2,1,3,1,2,2,2,2,1,3,4,4,4,4,4,2,2,1,6,3,7,1,1,2,2,3,3,2,2,2,2,1,1,1,1,3438.2969
1311,23/04/2020,5,2,1,2,2,2,2,1,2,2,3,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,4,3,3,4,3,3,3,3,1,1,3,3,2,2,2,3,3,4,2,3,2,1,2,1,4,4,3,4,4,4,1,2,2,1,1,2,4,0,4,1,6,5,3,2,2,2,1,1,1,9,10336.5674
1312,23/04/2020,6,9,3,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,3,3,3,4,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,4,3,4,4,4,2,2,1,6,3,7,1,0,2,1,2,2,2,2,2,2,1,1,1,1,12845.8543
1313,23/04/2020,2,1,2,1,1,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,3,3,4,1,3,1,1,1,1,1,3,1,3,3,3,3,4,4,3,3,3,3,1,3,3,3,4,4,4,2,2,1,6,1,6,1,0,3,2,5,5,2,2,2,2,1,4,1,2,7696.8271
1314,23/04/2020,6,6,6,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,3,4,4,2,2,3,3,1,3,3,3,3,2,3,3,3,3,2,2,2,2,3,3,1,4,1,4,4,4,2,2,1,6,4,4,4,0,1,1,6,2,2,2,2,2,1,3,2,9,5648.4153
