PUMFID,VERDATE,AGEGRP,BH_05,BH_10,BH_25,BH_30,BH_45,PBH_50,BH_15A,BH_15B,BH_15C,BH_15D,BH_20A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,BH_20N,BH_35A,BH_35B,BH_35C,BH_35D,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,BH_55A,BH_55B,BH_55C,BH_55D,BH_55E,BH_55F,BH_55G,BH_55H,BH_55I,BH_55J,BH_55K,BH_55L,BH_60A,BH_60B,BH_60C,BH_60D,BH_60E,BH_60F,PBH_65A,BH_65B,BH_65C,PBH_70_C,DWELCODC,EDUC_LVC,PEMPSTC,HASCHILD,HHLDSIZC,IMMIGRNC,LM_30,LM_40,PLM_45,LM_35A,LM_35B,LM_35CDE,LM_35F,MARSTATC,SEX,PTELEWSC,COVID_WT
2353,23/04/2020,5,1,1,2,9,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,1,2,1,2,1,3,4,3,3,3,3,3,2,1,1,3,3,2,2,4,4,4,4,3,2,3,3,1,1,4,3,4,4,4,4,1,1,2,1,1,7,4,0,2,1,6,5,2,2,2,2,1,2,2,9,3213.0405
2354,23/04/2020,6,9,6,3,3,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,3,4,3,4,3,3,9,9,9,1,1,1,9,3,3,9,3,3,3,3,3,3,3,2,1,4,4,4,4,4,4,2,2,1,6,1,1,4,0,2,1,6,5,2,2,2,2,1,1,1,9,4264.0656
2355,23/04/2020,3,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,3,4,3,3,4,1,1,1,1,3,3,3,3,2,2,4,3,3,4,3,3,3,3,3,1,3,4,3,4,4,4,1,2,2,1,3,3,1,1,2,2,4,5,3,2,2,2,1,1,1,1,18013.1615
2356,23/04/2020,3,1,4,2,3,2,2,1,1,1,3,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,3,3,4,1,3,3,1,3,1,3,1,2,2,3,3,3,4,2,2,2,2,2,1,3,4,4,4,4,3,2,2,1,6,1,6,1,1,1,1,5,3,2,2,2,2,1,3,2,1,690.6589
2357,23/04/2020,4,6,6,2,2,2,2,2,2,2,3,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,4,3,3,4,3,3,3,3,1,1,9,1,2,2,2,3,3,3,2,2,2,1,2,2,3,4,4,4,4,4,2,2,1,6,1,4,4,0,2,1,6,4,3,2,2,2,1,2,2,9,11797.8551
2358,23/04/2020,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,4,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,4,3,3,3,2,2,1,3,4,4,4,4,4,2,1,2,2,4,6,1,0,2,1,5,4,3,2,2,2,1,2,2,1,5227.2519
2359,23/04/2020,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,1,4,3,3,4,3,3,3,2,1,1,3,3,2,1,3,2,2,3,2,1,1,1,1,1,3,4,4,4,4,4,2,2,1,6,1,4,1,0,1,1,5,4,2,2,2,2,1,4,1,2,5846.1445
2360,23/04/2020,7,5,5,3,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,2,1,1,2,1,3,4,4,4,4,4,2,2,1,6,1,4,4,0,2,1,6,4,3,2,2,2,1,3,2,9,2540.4806
2361,23/04/2020,3,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,4,3,3,4,1,3,3,3,1,1,3,1,4,4,4,4,4,4,4,3,3,3,4,1,3,4,3,4,4,4,1,2,2,1,1,3,1,0,2,1,3,5,2,2,2,2,1,2,2,1,4651.5151
2362,23/04/2020,1,12,2,1,2,2,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,4,3,3,4,2,3,3,1,1,1,1,3,2,2,3,3,2,3,1,1,2,2,2,1,3,4,3,4,4,4,2,1,2,1,1,4,3,0,2,1,3,1,2,1,2,2,2,2,1,4,3390.1359
2363,23/04/2020,5,6,6,1,1,2,2,1,2,2,3,2,1,2,2,1,1,1,1,1,2,2,2,2,2,3,4,3,4,4,3,3,3,1,1,1,3,3,1,3,3,2,2,3,2,1,1,1,2,1,3,4,4,4,4,4,2,2,1,6,1,3,4,0,2,2,6,4,3,2,2,2,1,1,2,9,972.231
2364,23/04/2020,3,1,6,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,3,3,3,3,3,3,3,3,1,3,3,2,2,4,2,2,4,3,3,2,3,2,2,3,3,3,4,4,4,2,1,2,2,4,7,1,0,2,1,4,4,3,2,2,2,1,2,1,1,4919.6745
2365,23/04/2020,6,6,1,3,4,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,3,4,3,3,4,3,3,3,3,1,1,3,3,3,3,3,3,3,4,2,2,3,3,2,1,3,4,4,4,4,4,2,2,1,6,1,2,4,0,2,1,6,4,2,2,2,2,1,1,2,9,7029.6887
2366,23/04/2020,6,1,1,1,2,2,2,2,2,2,3,1,1,2,2,2,1,1,2,1,1,2,2,2,2,1,1,3,3,2,3,9,9,2,3,1,9,9,3,1,2,3,3,4,2,2,1,1,2,1,3,4,4,4,4,4,2,2,1,6,3,7,4,0,1,1,6,5,1,2,2,2,1,4,1,9,4308.3434
2367,23/04/2020,5,1,6,3,9,2,2,2,9,9,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,3,9,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,2,1,1,1,1,1,3,4,4,4,4,4,2,2,1,6,1,2,4,0,2,1,6,4,2,2,2,2,1,1,2,9,8721.5906
2368,23/04/2020,2,2,2,3,3,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,4,4,4,4,4,3,3,3,3,3,3,3,3,1,1,2,2,3,3,2,1,1,1,1,1,3,4,4,4,4,4,2,2,1,6,4,2,1,0,2,1,5,4,2,2,2,2,1,1,2,3,6042.911
2369,23/04/2020,4,6,6,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,3,4,3,3,3,4,4,4,4,4,2,2,1,6,1,3,1,1,2,1,5,4,3,2,2,2,1,2,2,3,2028.5254
2370,23/04/2020,4,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,1,1,2,2,2,2,3,1,2,3,3,3,3,3,1,1,3,3,1,3,3,3,4,4,4,3,3,4,3,4,4,3,4,4,4,4,4,2,2,1,6,2,1,3,0,2,1,1,1,2,1,2,2,2,4,2,4,16529.9048
2371,23/04/2020,3,1,2,1,1,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,2,1,2,2,3,4,3,4,2,3,3,3,2,1,1,3,1,1,1,4,3,3,4,2,2,2,2,3,1,3,4,4,4,4,2,2,2,1,6,1,6,1,1,2,1,4,4,3,2,2,2,1,1,1,3,2703.8484
2372,23/04/2020,2,1,4,2,4,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,4,3,4,4,1,3,1,1,1,1,3,1,2,2,4,3,2,3,3,2,2,3,4,2,3,4,4,4,4,4,2,1,2,2,1,7,1,0,2,1,4,5,2,2,2,2,1,1,2,3,3893.3127
2373,23/04/2020,2,7,7,2,4,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,1,2,2,2,3,3,4,3,3,3,3,1,1,3,1,1,3,2,4,4,4,4,4,4,3,3,4,4,2,1,1,1,4,4,4,2,2,1,6,1,2,1,0,2,1,3,3,3,2,2,2,1,4,2,3,5918.2833
2374,23/04/2020,2,1,2,2,3,2,2,2,2,1,3,1,2,2,2,2,1,1,2,1,1,2,1,2,2,1,1,4,4,4,3,1,3,1,3,3,3,3,2,3,4,2,3,4,2,2,2,1,2,1,3,4,4,4,4,4,2,2,1,6,4,6,1,1,2,2,3,5,2,2,2,2,1,1,1,1,16461.3767
2375,23/04/2020,1,7,1,1,3,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,4,3,3,4,3,3,3,1,1,1,1,3,2,2,4,3,4,4,2,2,4,3,2,1,3,4,4,4,4,4,2,2,1,6,1,2,1,0,3,1,4,4,2,2,2,2,1,4,2,2,5666.5272
2376,23/04/2020,7,1,6,2,2,2,2,9,9,9,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,9,9,9,3,9,9,9,9,9,1,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,3,4,4,4,4,4,2,2,1,6,1,6,4,0,2,1,6,5,2,2,2,2,1,1,1,9,2824.6818
2377,23/04/2020,3,6,3,1,1,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,4,3,3,3,1,3,3,1,1,1,1,3,2,3,3,3,3,3,3,3,2,3,1,1,4,4,4,4,4,4,2,2,1,6,4,3,3,1,2,1,4,4,2,2,2,2,1,2,2,4,11363.8099
2378,23/04/2020,1,2,2,1,4,2,2,1,2,2,3,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,4,4,4,3,1,3,3,1,1,3,1,3,1,2,4,3,3,3,2,3,2,2,2,1,4,4,3,4,4,4,2,2,1,6,1,2,4,0,5,1,6,3,3,2,2,2,1,1,2,9,68010.3249
2379,23/04/2020,5,1,1,5,5,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,3,4,3,3,3,2,3,3,3,3,3,3,3,4,4,4,4,9,4,3,3,1,1,4,1,3,4,4,4,4,4,2,2,1,6,4,4,4,0,1,2,6,1,2,2,2,2,1,3,1,9,10837.0741
2380,23/04/2020,3,1,1,3,3,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,3,4,3,1,3,3,1,1,3,3,3,3,3,4,2,2,3,2,1,2,2,2,1,3,4,3,4,4,4,2,2,1,6,3,7,1,0,2,1,5,4,2,2,2,2,1,1,2,1,16171.3006
2381,23/04/2020,6,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,4,4,2,4,4,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,2,1,1,1,1,3,4,4,4,4,4,2,2,1,6,4,3,4,0,2,1,6,4,2,2,2,2,1,3,1,9,10303.7859
2382,23/04/2020,4,6,6,1,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,1,1,1,3,3,3,2,3,2,2,1,1,3,3,4,4,4,4,2,1,2,1,1,4,1,1,2,1,5,4,2,2,2,2,1,3,2,2,2337.7912
2383,23/04/2020,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,4,4,4,4,3,3,3,3,3,1,3,3,4,4,4,4,4,4,4,2,4,4,2,1,3,4,4,4,4,1,2,2,1,6,3,2,1,1,2,1,5,4,2,2,2,2,1,1,1,3,77660.0229
2384,23/04/2020,4,11,11,3,3,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,3,4,3,4,3,3,3,3,1,3,3,3,2,2,2,3,3,2,2,2,2,2,1,1,3,4,4,4,4,4,2,2,1,6,1,2,1,0,3,1,4,4,2,2,2,2,1,1,2,3,7891.7494
2385,23/04/2020,6,6,6,1,1,2,9,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1,4,2,2,4,3,3,3,2,1,1,1,9,2,1,2,3,3,3,2,1,2,2,1,1,4,3,4,4,4,4,2,2,1,6,1,4,4,0,1,1,6,4,3,2,2,2,1,3,2,9,1306.6429
2386,23/04/2020,7,1,1,2,3,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,3,4,4,4,4,3,3,3,2,3,1,3,3,3,3,3,3,2,3,2,2,2,2,2,1,2,4,4,4,4,2,2,2,1,6,4,2,1,0,2,1,4,4,3,2,2,2,1,1,1,3,4977.8545
2387,23/04/2020,4,5,5,4,4,1,1,2,2,2,3,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,4,3,1,4,3,1,1,1,1,1,3,3,3,9,4,4,4,4,2,3,3,3,4,1,4,4,4,4,4,4,2,2,1,6,2,1,4,0,1,1,6,1,2,2,2,2,1,3,2,9,2575.3761
2388,23/04/2020,6,1,1,3,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,3,3,3,9,1,3,3,3,2,2,3,3,3,2,2,3,3,3,2,1,3,4,4,4,4,3,2,2,1,6,1,1,1,0,1,2,2,2,2,2,2,2,1,4,1,2,31103.4929
2389,23/04/2020,5,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,9,3,3,4,3,9,9,9,1,3,9,9,2,2,4,4,4,4,3,2,3,3,2,1,3,4,4,4,4,4,2,2,1,6,1,6,1,0,2,1,5,4,3,2,2,2,1,2,2,2,1175.3713
2390,23/04/2020,6,5,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,3,4,3,3,4,2,3,3,2,3,3,3,3,4,4,4,4,4,4,2,2,3,2,2,1,3,4,4,4,4,4,2,2,1,6,1,2,4,0,2,1,6,4,3,2,2,2,1,1,2,9,5384.2755
2391,23/04/2020,4,7,6,3,3,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,3,4,4,4,2,3,3,3,3,1,3,3,3,3,2,3,3,3,3,2,3,4,3,2,2,3,4,4,4,4,4,2,2,1,6,4,4,4,0,2,1,6,2,1,2,2,2,1,1,2,9,1453.5985
2392,23/04/2020,4,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,3,4,4,4,3,3,3,3,1,1,1,3,3,4,4,4,4,4,1,4,4,4,4,4,1,3,4,4,4,4,4,2,2,1,6,2,2,4,0,1,1,6,2,2,2,2,2,1,4,2,9,3117.2716
2393,23/04/2020,6,4,12,3,1,1,1,3,3,2,3,1,1,2,2,2,2,1,1,1,1,2,2,2,2,4,4,3,4,4,3,9,9,9,3,3,9,9,2,2,9,9,9,2,2,9,9,9,9,9,3,4,4,4,4,9,2,2,1,6,1,4,4,0,2,2,6,5,2,2,2,2,1,1,1,9,3399.8623
2394,23/04/2020,4,5,6,5,5,2,2,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,2,1,2,1,4,4,4,4,3,3,3,1,1,1,3,3,4,4,4,4,4,4,4,4,3,4,2,1,4,3,4,4,4,4,2,2,1,6,1,1,4,0,1,1,6,5,2,2,2,2,1,3,2,9,512.8119
2395,23/04/2020,6,5,5,2,2,1,1,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,4,3,2,4,3,3,3,2,3,3,3,3,2,3,4,2,3,4,1,1,1,1,1,1,3,4,4,4,4,4,2,2,1,6,1,4,4,0,2,1,6,4,3,2,2,2,1,1,2,9,3942.4914
2396,23/04/2020,2,1,2,2,4,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,4,3,4,3,3,3,3,1,3,1,3,2,4,4,3,3,4,2,2,2,3,1,1,4,4,4,4,4,4,2,1,2,1,1,2,4,0,3,1,6,5,2,2,2,2,1,4,1,9,12554.6253
2397,23/04/2020,4,1,7,3,4,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,4,2,1,4,3,3,3,1,1,1,3,3,3,4,4,3,3,4,3,3,3,2,2,1,1,4,4,4,4,4,2,2,1,6,1,3,4,0,2,1,6,2,2,1,2,2,2,1,2,9,9733.2344
2398,23/04/2020,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,1,3,4,4,4,4,4,2,2,1,6,1,4,1,0,3,2,1,1,2,2,2,2,1,1,2,3,11001.866
2399,23/04/2020,2,11,11,1,2,2,2,2,2,2,3,1,2,2,2,2,1,1,1,1,2,1,1,2,2,3,4,3,3,4,1,3,3,1,1,1,3,3,2,2,3,2,2,3,1,1,2,2,1,1,3,4,4,4,4,4,2,2,1,6,1,6,1,0,1,1,5,4,2,2,2,2,1,4,1,1,3991.0203
2400,23/04/2020,3,6,6,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,3,4,3,4,4,3,3,3,1,1,1,3,3,2,4,4,4,4,2,1,2,3,3,3,1,3,4,3,4,4,4,2,1,2,1,1,3,4,1,2,1,6,2,2,2,2,2,1,1,2,9,4320.1929
2401,23/04/2020,1,1,5,2,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,3,4,3,3,3,3,3,3,3,1,1,3,1,2,2,3,4,4,4,4,3,3,3,2,1,3,4,4,4,4,1,2,1,2,2,1,1,1,1,4,1,4,3,2,2,2,2,1,4,2,3,3749.3095
2402,23/04/2020,3,3,3,2,4,2,1,1,2,2,3,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,4,3,4,4,3,3,1,3,1,1,1,3,2,2,3,2,3,3,2,1,2,2,3,1,3,4,3,4,4,4,2,2,1,6,4,7,1,0,1,1,4,3,3,2,2,2,1,4,2,1,2147.4261
2403,23/04/2020,5,1,6,3,3,2,2,1,2,2,3,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,4,3,3,4,3,3,3,2,1,3,3,3,2,1,4,2,2,3,2,1,2,1,2,1,3,4,3,4,4,4,2,2,1,6,1,6,2,0,1,1,4,3,3,2,2,2,1,3,1,4,775.4902
2404,23/04/2020,5,3,3,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,3,4,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,2,2,1,6,1,1,2,0,2,1,3,5,2,2,2,2,1,1,1,4,2237.706
2405,23/04/2020,6,3,3,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,3,4,4,2,3,3,3,1,3,3,3,2,2,2,4,4,4,1,2,2,2,2,1,3,4,4,4,4,4,2,2,1,6,1,3,4,0,4,1,6,3,2,2,2,2,1,1,2,9,13238.3992
2406,23/04/2020,2,7,6,2,2,2,2,3,2,2,3,2,2,2,2,1,2,1,2,1,2,2,2,2,2,3,4,4,4,4,2,3,3,1,1,1,2,3,2,2,3,2,2,2,2,2,2,2,2,1,3,4,4,4,4,4,2,2,1,6,1,4,1,1,2,2,3,2,2,2,2,2,1,1,1,3,1839.8852
2407,23/04/2020,4,7,9,2,3,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,3,3,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,4,4,1,2,2,1,6,4,6,1,0,1,2,1,5,2,2,2,2,1,3,1,3,967.5287
2408,23/04/2020,6,1,4,5,4,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,3,1,4,4,4,3,3,3,2,1,1,3,3,2,2,1,2,2,2,1,1,1,1,2,1,4,4,4,4,4,4,2,2,1,6,2,2,4,0,2,2,6,4,2,2,2,2,1,1,2,9,3589.3198
2409,23/04/2020,4,1,1,3,3,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,2,3,9,3,3,3,3,3,3,2,1,1,1,3,4,4,4,4,4,4,4,4,1,1,4,1,3,4,4,4,4,4,2,2,1,6,1,3,3,0,1,1,1,1,1,2,2,2,1,3,1,4,5289.7687
2410,23/04/2020,7,5,5,3,2,1,2,1,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,3,3,2,1,1,2,2,2,2,2,2,1,1,1,3,4,4,4,4,4,2,2,1,6,1,3,4,0,1,1,6,5,2,2,2,2,1,3,2,9,2250.6623
2411,23/04/2020,5,1,1,5,5,1,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,2,2,3,1,1,2,1,2,1,3,4,4,4,4,4,2,2,1,6,1,3,2,0,2,2,3,5,1,2,2,2,1,1,1,4,9076.4685
2412,23/04/2020,5,1,1,3,3,2,2,1,2,2,2,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,4,4,3,4,3,2,3,1,1,3,3,3,2,9,2,2,3,4,3,3,3,2,3,1,3,4,4,4,4,4,2,2,1,6,2,2,1,0,1,1,3,5,3,2,2,2,1,3,2,2,1617.7773
2413,23/04/2020,6,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,4,3,3,4,1,3,3,3,3,3,3,1,2,2,2,2,3,1,1,2,1,2,1,1,2,4,4,4,4,4,2,2,1,6,4,6,4,0,1,1,6,4,3,2,2,2,1,4,2,9,5261.8063
2414,23/04/2020,4,3,5,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,3,4,2,2,2,3,3,3,1,1,1,1,1,2,4,4,3,3,4,2,2,2,2,2,1,3,4,4,4,4,4,2,2,1,6,4,3,1,0,2,1,3,2,2,2,2,2,1,1,1,3,5673.034
2415,23/04/2020,3,5,3,2,2,2,2,1,2,1,3,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1,4,3,3,3,3,3,3,2,3,1,1,1,2,4,4,4,4,4,3,2,2,1,3,1,3,4,4,4,4,4,2,1,2,1,1,6,1,1,2,1,4,3,3,2,2,2,1,1,2,1,6714.5721
2416,23/04/2020,7,1,1,3,3,2,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,2,3,4,2,2,4,3,9,9,9,3,1,9,9,2,3,4,4,4,4,1,2,1,2,2,1,3,3,4,4,4,4,2,2,1,6,4,7,4,0,2,2,6,4,3,2,2,2,1,1,2,9,5238.8177
2417,23/04/2020,5,1,1,1,3,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,3,4,3,3,3,3,3,3,1,3,1,3,3,4,4,4,4,3,4,2,2,2,2,2,1,2,4,4,4,4,4,2,2,1,6,4,6,4,1,2,1,6,1,2,2,2,2,1,1,1,9,3174.5042
2418,23/04/2020,3,1,6,2,3,2,2,2,2,2,3,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,3,3,3,3,3,3,2,3,1,3,3,1,3,4,3,3,3,2,1,2,2,2,1,3,4,4,4,4,2,2,2,1,6,4,4,1,1,1,1,3,3,2,2,2,2,1,4,2,3,681.4495
2419,23/04/2020,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,4,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2,4,2,4,4,4,9,1,3,4,4,4,4,4,1,2,2,1,4,7,4,0,1,1,6,4,3,2,2,2,1,3,2,9,7324.6691
2420,23/04/2020,3,3,3,2,2,2,2,2,2,2,3,1,2,2,1,1,1,1,1,1,1,1,1,2,2,3,4,4,3,2,2,3,3,2,3,1,3,1,2,2,3,3,3,4,2,2,2,2,1,1,3,4,4,4,4,3,2,2,1,6,1,3,1,1,2,1,4,4,2,2,2,2,1,1,1,1,2127.0013
2421,23/04/2020,3,11,11,1,1,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,3,3,3,3,2,3,3,3,2,4,4,3,3,2,3,2,2,1,1,1,3,4,4,4,4,1,2,2,1,6,4,4,1,1,2,1,5,4,2,2,2,2,1,1,2,3,13925.4856
2422,23/04/2020,2,1,5,3,4,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,4,4,4,3,3,3,3,2,1,1,1,3,2,2,3,3,3,4,2,1,2,1,2,1,4,4,4,4,4,4,2,2,1,6,2,4,1,0,2,1,4,4,2,2,2,2,1,4,1,1,3786.4747
2423,23/04/2020,2,1,1,2,3,2,2,1,2,1,3,2,2,2,2,2,1,1,1,1,2,1,1,2,2,4,1,4,4,4,1,3,3,9,3,1,1,3,2,1,3,2,1,3,2,2,1,1,2,2,3,4,3,4,4,4,2,2,1,6,2,4,1,0,1,2,4,3,2,2,2,2,1,4,1,2,5809.4211
2424,23/04/2020,4,6,6,2,3,2,2,2,1,2,3,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,4,3,4,3,3,3,3,3,3,1,3,3,2,2,3,2,2,4,3,2,2,2,2,1,3,4,4,4,4,4,2,2,1,6,1,7,1,1,2,1,4,5,2,2,2,2,1,1,2,1,6957.869
2425,23/04/2020,4,5,1,3,3,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,3,4,4,3,4,3,3,3,1,1,1,3,3,3,3,3,2,2,2,1,1,2,2,3,1,3,4,3,3,4,4,2,2,1,6,4,4,4,0,2,1,6,5,2,2,2,2,1,1,2,9,3515.2816
2426,23/04/2020,4,1,9,3,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,9,2,4,3,3,3,3,3,3,3,3,2,2,2,2,2,3,1,1,3,1,1,1,3,4,4,4,4,4,2,2,1,6,1,2,1,0,2,1,1,1,9,2,2,2,1,1,1,2,6620.3232
2427,23/04/2020,6,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,4,4,2,4,3,3,3,3,3,3,3,3,2,2,2,2,1,3,3,1,3,3,1,1,3,4,4,4,4,4,1,2,2,1,3,4,4,0,2,1,6,3,3,2,2,2,1,1,1,9,13745.1991
2428,23/04/2020,3,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,3,3,2,9,9,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,2,1,6,2,5,1,1,2,2,3,1,2,2,2,2,1,1,1,3,3258.586
2429,23/04/2020,6,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,3,4,4,4,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,3,2,3,1,1,4,4,4,4,4,4,2,2,1,6,4,1,4,0,3,1,6,4,2,2,2,2,1,1,1,9,17158.8482
2430,23/04/2020,7,1,3,2,2,2,2,2,3,2,3,1,2,2,2,2,1,1,1,1,1,1,2,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,2,2,2,3,3,3,1,2,3,3,1,1,3,4,4,4,4,4,2,2,1,6,1,2,4,0,2,1,6,4,3,2,2,2,1,1,1,9,6427.9563
2431,23/04/2020,3,7,6,3,3,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,1,2,2,3,4,3,3,4,3,3,3,2,3,1,3,1,4,4,4,4,4,4,3,3,3,3,3,2,3,3,4,4,4,4,2,2,1,6,1,2,1,1,3,1,5,4,3,2,2,2,1,1,1,3,6470.7841
2432,23/04/2020,2,3,3,1,1,2,2,1,1,1,3,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,4,4,2,1,3,3,2,2,1,3,3,2,2,1,4,1,3,1,4,4,4,1,1,3,4,3,3,4,3,2,2,1,6,1,3,1,0,2,1,1,2,2,1,2,2,2,4,1,3,3672.0712
